Specialization	Tags	Description
Antiquarian	Archaeologist, Wax Stamps	A scholar that draws ancient sigils onto objects, giving them power.
Assassin	Poisons, Throwing Needles	An expert infiltrator proficient in poisons.
Bard	Illusions, Knives	A member of a courier guild with expertise in stagecraft and illusion.
Blademaster	Magic Swords, Duelist	An accomplished swordsman with a collection of enchanted blades.
Chemist	Mist Rod, Bombs	A specialist trained to use exceedingly dangerous substances.
Conjurer	Summoning, Alchemy	A practitioner of illegal summoning magic.
Corsair	Marauder, Swashbuckling	An experienced sailor, either of the seas or the skies.
Dragon Knight	Spearman, Transformation	A knight that mimics the power of dragons.
Druid	Wildlife, Primal Magic	A secretive magician with power over the natural world.
Enchanter	Constructs, Imbued Tools	An artificer that creates semi-magical servants.
Fell Knight	Curses, Magic Sword	A dark knight that uses underhanded methods.
Forgemaster	Smith, Reinforcement	An artificer that works with metals to create enchanted objects.
Gunslinger	Quickdraw, Trick Bullets	A skirmisher that relies on quick reflexes and modified bullets.
Knight	Warrior, Magic Sword	An honorable knight with a holy sword.
Legionnaire	Warrior, Builder	An infantryman trained in construction.
Priest	Persuasion, Divine Magic	A magician that governs over the boundaries between worlds.
Ranger	Tamer, Primal Magic	A traditional warrior, known for their affinity with the natural world.
Sapper	Guns, Grenades	A sharpshooter with a knack for explosives.
Shaman	Elementalist, War Magic	An elemental magician renowned for their power.
Spellsword	Battlemage, Magic Sword	A frontline magician that specializes in empowering their own body.
Templar	Warrior, Divine Magic	A mage hunter and monster slayer.
Witch	Persuasion, Speed	A member of a courier guild with a flying broom.
Wizard	Heat, Motion	An eccentric magician that manipulates physics.
